location,date,total_cases,total_deaths
Brazil,2020-11-01,5516658.0,159477.0
Brazil,2020-11-02,5516658.0,159477.0
Brazil,2020-11-03,5516658.0,159477.0
Brazil,2020-11-04,5516658.0,159477.0
Brazil,2020-11-05,5516658.0,159477.0
Brazil,2020-11-06,5516658.0,159477.0
Brazil,2020-11-07,5516658.0,159477.0
Brazil,2020-11-08,5631181.0,162015.0
Brazil,2020-11-09,5631181.0,162015.0
Brazil,2020-11-10,5631181.0,162015.0
Brazil,2020-11-11,5631181.0,162015.0
Brazil,2020-11-12,5631181.0,162015.0
Brazil,2020-11-13,5631181.0,162015.0
Brazil,2020-11-14,5631181.0,162015.0
Brazil,2020-11-15,5810652.0,164737.0
Brazil,2020-11-16,5810652.0,164737.0
Brazil,2020-11-17,5810652.0,164737.0
Brazil,2020-11-18,5810652.0,164737.0
Brazil,2020-11-19,5810652.0,164737.0
Brazil,2020-11-20,5810652.0,164737.0
Brazil,2020-11-21,5810652.0,164737.0
Brazil,2020-11-22,6020164.0,168613.0
Brazil,2020-11-23,6020164.0,168613.0
Brazil,2020-11-24,6020164.0,168613.0
Brazil,2020-11-25,6020164.0,168613.0
Brazil,2020-11-26,6020164.0,168613.0
Brazil,2020-11-27,6020164.0,168613.0
Brazil,2020-11-28,6020164.0,168613.0
Brazil,2020-11-29,6238350.0,171974.0
Brazil,2020-11-30,6238350.0,171974.0
Brazil,2020-12-01,6238350.0,171974.0
Brazil,2020-12-02,6238350.0,171974.0
Brazil,2020-12-03,6238350.0,171974.0
Brazil,2020-12-04,6238350.0,171974.0
Brazil,2020-12-05,6238350.0,171974.0
Brazil,2020-12-06,6533968.0,175964.0
Brazil,2020-12-07,6533968.0,175964.0
Brazil,2020-12-08,6533968.0,175964.0
Brazil,2020-12-09,6533968.0,175964.0
Brazil,2020-12-10,6533968.0,175964.0
Brazil,2020-12-11,6533968.0,175964.0
Brazil,2020-12-12,6533968.0,175964.0
Brazil,2020-12-13,6836227.0,180437.0
Brazil,2020-12-14,6836227.0,180437.0
Brazil,2020-12-15,6836227.0,180437.0
Brazil,2020-12-16,6836227.0,180437.0
Brazil,2020-12-17,6836227.0,180437.0
Brazil,2020-12-18,6836227.0,180437.0
Brazil,2020-12-19,6836227.0,180437.0
Brazil,2020-12-20,7162978.0,185650.0
Brazil,2020-12-21,7162978.0,185650.0
Brazil,2020-12-22,7162978.0,185650.0
Brazil,2020-12-23,7162978.0,185650.0
Brazil,2020-12-24,7162978.0,185650.0
Brazil,2020-12-25,7162978.0,185650.0
Brazil,2020-12-26,7162978.0,185650.0
Brazil,2020-12-27,7448560.0,190488.0
Brazil,2020-12-28,7448560.0,190488.0
Brazil,2020-12-29,7448560.0,190488.0
Brazil,2020-12-30,7448560.0,190488.0
Brazil,2020-12-31,7448560.0,190488.0
Brazil,2021-01-01,7448560.0,190488.0
Brazil,2021-01-02,7448560.0,190488.0
Brazil,2021-01-03,7700578.0,195411.0
Brazil,2021-01-04,7700578.0,195411.0
Brazil,2021-01-05,7700578.0,195411.0
Brazil,2021-01-06,7700578.0,195411.0
Brazil,2021-01-07,7700578.0,195411.0
Brazil,2021-01-08,7700578.0,195411.0
Brazil,2021-01-09,7700578.0,195411.0
Brazil,2021-01-10,8013708.0,201460.0
Brazil,2021-01-11,8013708.0,201460.0
Brazil,2021-01-12,8013708.0,201460.0
Brazil,2021-01-13,8013708.0,201460.0
Brazil,2021-01-14,8013708.0,201460.0
Brazil,2021-01-15,8013708.0,201460.0
Brazil,2021-01-16,8013708.0,201460.0
Brazil,2021-01-17,8393492.0,208246.0
Brazil,2021-01-18,8393492.0,208246.0
Brazil,2021-01-19,8393492.0,208246.0
Brazil,2021-01-20,8393492.0,208246.0
Brazil,2021-01-21,8393492.0,208246.0
Brazil,2021-01-22,8393492.0,208246.0
Brazil,2021-01-23,8393492.0,208246.0
Brazil,2021-01-24,8753920.0,215243.0
Brazil,2021-01-25,8753920.0,215243.0
Brazil,2021-01-26,8753920.0,215243.0
Brazil,2021-01-27,8753920.0,215243.0
Brazil,2021-01-28,8753920.0,215243.0
Brazil,2021-01-29,8753920.0,215243.0
Brazil,2021-01-30,8753920.0,215243.0
Brazil,2021-01-31,9118513.0,222666.0
Brazil,2021-02-01,9118513.0,222666.0
Brazil,2021-02-02,9118513.0,222666.0
Brazil,2021-02-03,9118513.0,222666.0
Brazil,2021-02-04,9118513.0,222666.0
Brazil,2021-02-05,9118513.0,222666.0
Brazil,2021-02-06,9118513.0,222666.0
Brazil,2021-02-07,9447165.0,230034.0
Brazil,2021-02-08,9447165.0,230034.0
Brazil,2021-02-09,9447165.0,230034.0
Brazil,2021-02-10,9447165.0,230034.0
Brazil,2021-02-11,9447165.0,230034.0
Brazil,2021-02-12,9447165.0,230034.0
Brazil,2021-02-13,9447165.0,230034.0
Brazil,2021-02-14,9765455.0,237489.0
Brazil,2021-02-15,9765455.0,237489.0
Brazil,2021-02-16,9765455.0,237489.0
Brazil,2021-02-17,9765455.0,237489.0
Brazil,2021-02-18,9765455.0,237489.0
Brazil,2021-02-19,9765455.0,237489.0
Brazil,2021-02-20,9765455.0,237489.0
Brazil,2021-02-21,10081676.0,244765.0
Brazil,2021-02-22,10081676.0,244765.0
Brazil,2021-02-23,10081676.0,244765.0
Brazil,2021-02-24,10081676.0,244765.0
Brazil,2021-02-25,10081676.0,244765.0
Brazil,2021-02-26,10081676.0,244765.0
Brazil,2021-02-27,10081676.0,244765.0
Brazil,2021-02-28,10455630.0,252835.0
Brazil,2021-03-01,10455630.0,252835.0
Brazil,2021-03-02,10455630.0,252835.0
Brazil,2021-03-03,10455630.0,252835.0
Brazil,2021-03-04,10455630.0,252835.0
Brazil,2021-03-05,10455630.0,252835.0
Brazil,2021-03-06,10455630.0,252835.0
Brazil,2021-03-07,10869227.0,262770.0
Brazil,2021-03-08,10869227.0,262770.0
Brazil,2021-03-09,10869227.0,262770.0
Brazil,2021-03-10,10869227.0,262770.0
Brazil,2021-03-11,10869227.0,262770.0
Brazil,2021-03-12,10869227.0,262770.0
Brazil,2021-03-13,10869227.0,262770.0
Brazil,2021-03-14,11363380.0,275105.0
Brazil,2021-03-15,11363380.0,275105.0
Brazil,2021-03-16,11363380.0,275105.0
Brazil,2021-03-17,11363380.0,275105.0
Brazil,2021-03-18,11363380.0,275105.0
Brazil,2021-03-19,11363380.0,275105.0
Brazil,2021-03-20,11363380.0,275105.0
Brazil,2021-03-21,11871390.0,290314.0
Brazil,2021-03-22,11871390.0,290314.0
Brazil,2021-03-23,11871390.0,290314.0
Brazil,2021-03-24,11871390.0,290314.0
Brazil,2021-03-25,11871390.0,290314.0
Brazil,2021-03-26,11871390.0,290314.0
Brazil,2021-03-27,11871390.0,290314.0
Brazil,2021-03-28,12404414.0,307112.0
Brazil,2021-03-29,12404414.0,307112.0
Brazil,2021-03-30,12404414.0,307112.0
Brazil,2021-03-31,12404414.0,307112.0
Brazil,2021-04-01,12404414.0,307112.0
Brazil,2021-04-02,12404414.0,307112.0
Brazil,2021-04-03,12404414.0,307112.0
Brazil,2021-04-04,12910082.0,328206.0
Brazil,2021-04-05,12910082.0,328206.0
Brazil,2021-04-06,12910082.0,328206.0
Brazil,2021-04-07,12910082.0,328206.0
Brazil,2021-04-08,12910082.0,328206.0
Brazil,2021-04-09,12910082.0,328206.0
Brazil,2021-04-10,12910082.0,328206.0
Brazil,2021-04-11,13373174.0,348718.0
Brazil,2021-04-12,13373174.0,348718.0
Brazil,2021-04-13,13373174.0,348718.0
Brazil,2021-04-14,13373174.0,348718.0
Brazil,2021-04-15,13373174.0,348718.0
Brazil,2021-04-16,13373174.0,348718.0
Brazil,2021-04-17,13373174.0,348718.0
Brazil,2021-04-18,13832455.0,368749.0
